Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4.4,,,3.8,5.1,670050,11001,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.7,,,9.5,12.1,670050,11001,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.6,3.1,670050,11001,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,16.1,,,13.0,19.8,670050,11001,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,11.3,,,8.9,14.0,670050,11001,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.5,,,19.6,30.1,670050,11001,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,9.5,,,8.0,11.1,670050,11001,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-77.0165167 38.9042474),1049
2020,DC,District of Columbia,District of Columbia,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,46.8,,,41.5,52.0,670050,11001,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.8,,,6.7,8.9,670050,11001,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,2.8,3.8,670050,11001,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,10.1,,,8.4,11.9,670050,11001,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,88.5,,,85.8,90.8,670050,11001,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,28.1,,,24.6,31.7,670050,11001,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,29.9,,,25.9,34.1,670050,11001,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,12.8,,,10.7,15.1,670050,11001,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-77.0165167 38.9042474),1049
2021,DC,District of Columbia,District of Columbia,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,3.8,,,3.3,4.3,670050,11001,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-77.0165167 38.9042474),1049
